Temperature,Air_Density,Soil_Moisture,Fire_Detection
23.1,1.193,False,False
43.3,1.108,False,True
35.6,1.145,False,False
31.0,1.164,True,False
15.5,1.226,True,False
15.5,1.23,True,False
12.0,1.243,True,False
40.3,1.129,False,True
31.0,1.16,True,False
34.8,1.137,True,False
10.7,1.246,True,False
43.9,1.114,False,True
39.1,1.132,False,True
17.4,1.207,True,False
16.4,1.213,True,False
16.4,1.225,True,False
20.6,1.201,True,False
28.4,1.175,True,False
25.1,1.184,False,False
20.2,1.204,True,False
31.4,1.164,True,False
14.9,1.222,True,False
20.2,1.204,True,False
22.8,1.19,True,False
26.0,1.178,True,False
37.5,1.135,False,True
17.0,1.218,True,False
28.0,1.169,False,False
30.7,1.169,False,False
11.6,1.234,True,False
31.3,1.158,False,False
16.0,1.218,True,False
12.3,1.246,True,False
43.2,1.117,False,True
43.8,1.119,False,True
38.3,1.125,False,False
20.7,1.203,True,False
13.4,1.237,True,False
33.9,1.15,False,False
25.4,1.189,False,False
14.3,1.225,True,False
27.3,1.183,True,False
11.2,1.255,True,False
41.8,1.119,False,True
19.1,1.205,True,False
33.2,1.161,True,False
20.9,1.21,True,False
28.2,1.168,False,False
29.1,1.165,True,False
16.5,1.217,True,False
43.9,1.106,False,True
37.1,1.132,False,False
42.9,1.111,False,True
41.3,1.118,False,True
30.9,1.161,False,False
42.3,1.12,False,True
13.1,1.243,True,False
16.9,1.211,True,False
11.6,1.246,True,False
21.4,1.197,True,False
23.6,1.189,True,False
19.5,1.21,True,False
39.0,1.125,False,True
22.5,1.196,True,False
19.8,1.206,True,False
29.0,1.171,False,False
14.9,1.227,True,False
38.1,1.148,False,True
12.6,1.231,True,False
44.5,1.108,False,True
37.0,1.135,False,False
17.0,1.213,True,False
10.2,1.242,True,False
38.5,1.139,False,False
34.7,1.155,True,False
35.5,1.14,False,False
37.0,1.133,False,True
12.6,1.238,True,False
22.5,1.19,True,False
14.1,1.233,True,False
40.2,1.128,False,True
31.8,1.149,False,False
21.6,1.207,True,False
12.2,1.248,True,False
20.9,1.197,True,False
21.4,1.196,True,False
35.5,1.145,False,False
32.3,1.157,False,False
41.1,1.127,False,True
26.5,1.19,True,False
14.2,1.227,True,False
35.0,1.141,False,False
36.6,1.132,False,False
29.6,1.162,False,False
37.0,1.138,False,True
27.3,1.185,False,False
28.3,1.168,False,False
25.0,1.185,True,False
10.9,1.243,True,False
13.8,1.237,True,False
11.1,1.257,True,False
32.3,1.153,False,False
21.0,1.197,True,False
27.8,1.179,False,False
41.8,1.125,False,True
18.7,1.22,True,False
24.4,1.19,True,False
36.4,1.138,False,False
18.0,1.216,True,False
12.7,1.242,True,False
20.1,1.208,True,False
15.6,1.225,True,False
42.5,1.124,False,True
38.3,1.14,False,True
32.2,1.164,False,False
40.5,1.129,False,True
38.1,1.133,False,True
16.5,1.219,True,False
41.2,1.129,False,True
28.9,1.164,False,False
38.3,1.136,False,False
41.4,1.12,False,True
21.1,1.2,False,False
13.9,1.238,True,False
18.0,1.214,True,False
24.9,1.184,True,False
38.6,1.125,False,True
40.1,1.131,False,True
10.2,1.25,True,False
27.9,1.185,False,False
24.6,1.184,True,False
17.8,1.215,True,False
14.2,1.23,True,False
21.8,1.206,True,False
43.0,1.116,False,True
21.3,1.2,True,False
28.2,1.175,False,False
34.6,1.148,False,True
22.7,1.19,True,False
44.0,1.114,False,True
43.7,1.12,False,True
18.8,1.203,False,False
27.4,1.175,True,False
20.5,1.198,True,False
20.0,1.211,True,False
11.3,1.232,True,False
31.3,1.156,False,False
27.6,1.176,True,False
11.8,1.248,True,False
19.8,1.205,True,False
41.8,1.118,False,True
18.4,1.222,True,False
15.1,1.216,True,False
27.1,1.163,True,False
44.5,1.114,False,True
18.5,1.207,True,False
33.5,1.145,False,False
36.7,1.143,False,False
18.3,1.213,True,False
35.5,1.141,False,False
22.9,1.185,True,False
32.1,1.161,True,False
32.2,1.16,True,False
28.8,1.169,True,False
13.2,1.244,True,False
39.2,1.124,False,True
21.2,1.19,True,False
16.5,1.214,True,False
11.4,1.24,True,False
30.7,1.163,True,False
33.7,1.149,False,False
10.6,1.246,True,False
27.9,1.165,True,False
17.9,1.221,True,False
32.6,1.154,False,False
16.1,1.227,True,False
34.2,1.15,False,False
23.5,1.192,True,False
42.8,1.12,False,True
14.8,1.229,True,False
21.9,1.2,True,False
14.0,1.237,True,False
42.4,1.12,False,True
40.7,1.129,False,False
19.0,1.208,True,False
33.1,1.161,False,False
38.6,1.128,False,True
29.4,1.177,False,False
28.5,1.17,False,False
18.5,1.202,True,False
13.3,1.233,True,False
41.4,1.118,False,True
41.5,1.126,False,True
32.2,1.152,False,False
21.9,1.194,True,False
22.2,1.184,False,False
35.4,1.141,False,False
41.4,1.109,False,True
41.0,1.115,False,True
37.3,1.141,False,True
32.5,1.159,False,False
12.9,1.236,True,False
15.7,1.216,True,False
41.4,1.122,False,True
31.2,1.16,False,False
10.3,1.238,True,False
13.6,1.24,True,False
33.2,1.157,False,False
10.2,1.245,True,False
15.6,1.223,True,False
29.2,1.169,False,False
34.2,1.137,False,True
32.8,1.152,False,False
17.8,1.209,True,False
34.9,1.14,False,False
18.3,1.209,True,False
21.4,1.209,True,False
36.1,1.145,False,False
32.7,1.151,False,False
39.7,1.131,False,True
